camera,imgtype,zoom,exposure,gain,frame,lifter,timestamp,id,plantbarcode,treatment,cartag,measurementlabel,other,image,sample,in_bounds,area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,object_in_frame,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity
10.9.1.29,none,none,none,none,none,none,2019-10-31-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-31-19-05.jpg,0,True,19230.0,36796.0,0.5226111533862376,1836.6300221681595,297,200,1877,27,True,270.5886535644531,171.69825744628906,87.36163330078125,0.7728932602170179
10.9.1.29,none,none,none,none,none,none,2019-10-31-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-31-19-05.jpg,1,True,12013.0,16966.5,0.708042318686824,1167.4164463281631,143,169,1095,29,True,165.67474365234375,125.30786895751953,170.5389404296875,0.6541687223468245
10.9.1.29,none,none,none,none,none,none,2019-10-31-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-31-19-05.jpg,2,False,30428.0,55715.5,0.5461316868734912,2079.1176813840866,278,295,3548,25,False,318.4232177734375,193.57386779785156,39.00754165649414,0.794003031343012
10.9.1.29,none,none,none,none,none,none,2019-10-31-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-31-19-05.jpg,3,True,22486.0,44535.5,0.5049005849266316,1686.0428416728973,255,257,2070,25,True,242.31954956054688,193.6861572265625,132.1729736328125,0.6009314254375457
10.9.1.29,none,none,none,none,none,none,2019-10-31-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-31-19-05.jpg,4,True,21538.0,38675.5,0.5568900208142106,1499.1067690849304,228,294,3121,25,True,273.9190368652344,167.8446502685547,35.30429458618164,0.7902746581850302
10.9.1.29,none,none,none,none,none,none,2019-10-31-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-31-19-05.jpg,6,True,23481.0,47050.0,0.49906482465462276,2105.8927416801453,249,284,2938,27,True,260.7271423339844,198.97361755371094,14.171798706054688,0.6462227481681578
10.9.1.29,none,none,none,none,none,none,2019-10-31-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-31-19-05.jpg,7,True,28564.0,56089.0,0.5092620656456702,2174.023690342903,298,237,2472,28,True,280.1936950683594,211.5589141845703,113.38865661621094,0.6556727033611315
10.9.1.29,none,none,none,none,none,none,2019-10-31-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-31-19-05.jpg,8,True,30050.0,57602.5,0.5216787465821796,1984.2337474822998,277,296,3875,29,True,319.8052673339844,210.57406616210938,124.90057373046875,0.7526291567867934
10.9.1.29,none,none,none,none,none,none,2019-10-31-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-31-19-05.jpg,9,True,30822.0,61426.5,0.501770408537032,1665.6164355278015,330,266,2328,29,True,295.25201416015625,232.5103759765625,95.4222412109375,0.6163171842212586
10.9.1.29,none,none,none,none,none,none,2019-10-31-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-31-19-05.jpg,10,True,16594.0,28521.5,0.5818067072208685,1198.4722121953964,205,220,2217,23,True,194.8828887939453,170.96617126464844,164.700927734375,0.47998542530800486
10.9.1.29,none,none,none,none,none,none,2019-10-31-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-31-19-05.jpg,11,True,25447.0,48967.5,0.519671210496758,1810.814854979515,329,239,2154,34,True,271.17596435546875,194.63499450683594,87.0573501586914,0.6963068025361724
10.9.1.29,none,none,none,none,none,none,2019-10-31-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-31-19-05.jpg,12,True,23361.0,47799.0,0.48873407393460117,1626.8468835353851,315,257,2101,25,True,289.6943664550781,190.83042907714844,56.34114074707031,0.7523792384824048
10.9.1.29,none,none,none,none,none,none,2019-10-31-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-31-19-05.jpg,13,True,29268.0,60175.0,0.4863813876194433,1722.1261019706726,289,243,2531,28,True,300.8947448730469,231.04168701171875,68.43505859375,0.6406310383310567
10.9.1.29,none,none,none,none,none,none,2019-10-31-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-31-19-05.jpg,14,True,26799.0,50970.5,0.5257747128240845,2161.6139657497406,247,295,3160,31,True,295.4225769042969,206.40245056152344,6.184601783752441,0.7154455382275552
10.9.1.29,none,none,none,none,none,none,2019-10-31-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-31-19-05.jpg,15,True,30590.0,54727.5,0.5589511671463159,1976.008351802826,278,285,2265,34,True,279.03533935546875,207.10089111328125,137.29495239257812,0.6701750316628957
